player_name,year,salary,player_option,team_option,guaranteed_salary
Baylor Scheierman,4,"$4,952,993",FALSE,True,"$10,191,353"
Nikola Jović,1,"$2,464,200",FALSE,True,"$6,909,617"
Nikola Jović,2,"$4,445,417",FALSE,True,"$6,909,617"
Jaxson Hayes,1,"$2,463,946",True,FALSE,"$2,463,946"
Cam Reddish,1,"$2,463,946",True,FALSE,"$2,463,946"
Oshae Brissett,1,"$2,463,946",True,FALSE,
Patrick Baldwin Jr.,1,"$2,448,840",FALSE,True,"$2,448,840"
Patrick Baldwin Jr.,2,"$4,420,156",FALSE,True,"$2,448,840"
Peyton Watson,1,"$2,413,560",FALSE,True,"$6,770,036"
Peyton Watson,2,"$4,356,476",FALSE,True,"$6,770,036"
Mamadi Diakite,1,"$2,273,252",FALSE,FALSE,"$2,273,252"
Charlie Brown Jr.,1,"$2,237,692",FALSE,FALSE,"$2,237,692"
Xavier Tillman Sr.,1,"$2,237,691",FALSE,FALSE,"$4,784,366"
Xavier Tillman Sr.,2,"$2,546,675",FALSE,FALSE,"$4,784,366"
Kevin Porter Jr.,1,"$3,237,691",FALSE,FALSE,"$2,237,691"
Kevin Porter Jr.,2,"$2,546,675",True,FALSE,"$2,237,691"
James Wiseman,1,"$2,237,691",FALSE,FALSE,"$2,237,691"
James Wiseman,2,"$2,546,675",FALSE,True,"$2,237,691"
Garrison Mathews,1,"$2,230,253",FALSE,True,"$2,230,253"
JaVale McGee,1,"$2,208,856",FALSE,FALSE,"$8,835,424"
JaVale McGee,2,"$2,208,856",FALSE,FALSE,"$8,835,424"
JaVale McGee,3,"$2,208,856",FALSE,FALSE,"$8,835,424"
JaVale McGee,4,"$2,208,856",FALSE,FALSE,"$8,835,424"
Jeremiah Robinson-Earl,1,"$2,196,970",FALSE,True,"$2,196,970"
Lindy Waters III,1,"$2,196,970",FALSE,True,"$2,196,970"
Dalano Banton,1,"$2,196,970",FALSE,True,"$2,019,706"
Joshua Primo,1,"$2,196,970",FALSE,FALSE,
Sam Merrill,1,"$2,164,993",FALSE,FALSE,"$2,164,993"
Duane Washington Jr.,1,"$2,162,607",FALSE,FALSE,"$2,162,607"
Luka Garza,1,"$2,162,606",FALSE,FALSE,"$2,162,606"
Luka Garza,2,"$2,349,578",FALSE,True,"$2,162,606"
Neemias Queta,1,"$2,162,606",FALSE,FALSE,"$2,162,606"
Neemias Queta,2,"$2,349,578",FALSE,FALSE,"$2,162,606"
Neemias Queta,3,"$2,667,944",FALSE,True,"$2,162,606"
Vit Krejci,1,"$2,162,606",FALSE,FALSE,"$2,162,606"
Vit Krejci,2,"$2,349,578",FALSE,FALSE,"$2,162,606"
Vit Krejci,3,"$2,667,944",FALSE,FALSE,"$2,162,606"
Vit Krejci,4,"$3,005,085",FALSE,True,"$2,162,606"
A.J. Lawson,1,"$2,120,693",FALSE,FALSE,"$6,912,032"
A.J. Lawson,2,"$2,301,587",FALSE,FALSE,"$6,912,032"
A.J. Lawson,3,"$2,489,752",FALSE,FALSE,"$6,912,032"
Vince Williams Jr.,1,"$2,120,693",FALSE,FALSE,"$4,422,280"
Vince Williams Jr.,2,"$2,301,587",FALSE,FALSE,"$4,422,280"
Vince Williams Jr.,3,"$2,489,752",FALSE,True,"$4,422,280"
Colby Jones,1,"$2,120,693",FALSE,FALSE,"$2,120,693"
Colby Jones,2,"$2,221,677",FALSE,FALSE,"$2,120,693"
Colby Jones,3,"$2,406,205",FALSE,True,"$2,120,693"
E.J. Liddell,1,"$2,120,693",FALSE,FALSE,"$2,120,693"
Keon Ellis,1,"$2,120,693",FALSE,FALSE,
Keon Ellis,2,"$2,301,587",FALSE,True,
A.J. Green,1,"$2,120,693",FALSE,FALSE,
A.J. Green,2,"$2,301,587",FALSE,FALSE,
Sam Hauser,1,"$2,092,344",FALSE,True,"$47,092,344"
Sam Hauser,2,"$10,044,644",FALSE,FALSE,"$47,092,344"
Sam Hauser,3,"$10,848,215",FALSE,FALSE,"$47,092,344"
Sam Hauser,4,"$11,651,785",FALSE,FALSE,"$47,092,344"
Sam Hauser,5,"$12,455,356",FALSE,FALSE,"$47,092,344"
Jericho Sims,1,"$2,092,344",FALSE,True,"$2,092,344"
Garrett Temple,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Charles Bassey,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Alex Len,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Jordan McLaughlin,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Monte Morris,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Mason Plumlee,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Damion Lee,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Kyle Lowry,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Cameron Payne,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Daniel Theis,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Joe Ingles,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Taurean Prince,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Delon Wright,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Thomas Bryant,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Alec Burks,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Mo Bamba,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Vlatko Čančar,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Reggie Jackson,1,"$2,087,519",True,FALSE,"$2,087,519"
Taj Gibson,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
Seth Curry,1,"$2,087,519",FALSE,FALSE,"$2,087,519"
